,New Churn Category
0,IS NULL
1,IS NULL
2,Competitor
3,Product quality
4,Product quality
5,IS NULL
6,IS NULL
7,IS NULL
8,IS NULL
9,IS NULL
10,IS NULL
11,IS NULL
12,IS NULL
13,IS NULL
14,IS NULL
15,IS NULL
16,IS NULL
17,IS NULL
18,Product quality
19,Competitor
20,IS NULL
21,Other
22,IS NULL
23,IS NULL
24,Price
25,Client service
26,IS NULL
27,IS NULL
28,IS NULL
29,IS NULL
30,IS NULL
31,IS NULL
32,IS NULL
33,IS NULL
34,IS NULL
35,IS NULL
36,IS NULL
37,IS NULL
38,IS NULL
39,IS NULL
40,Competitor
41,IS NULL
42,IS NULL
43,IS NULL
44,IS NULL
45,IS NULL
46,IS NULL
47,IS NULL
48,IS NULL
49,IS NULL
50,IS NULL
51,IS NULL
52,IS NULL
53,Competitor
54,Product quality
55,IS NULL
56,IS NULL
57,IS NULL
58,IS NULL
59,IS NULL
60,IS NULL
61,IS NULL
62,IS NULL
63,Client service
64,Competitor
65,IS NULL
66,IS NULL
67,Competitor
68,IS NULL
69,IS NULL
70,IS NULL
71,Client service
72,Competitor
73,IS NULL
74,IS NULL
75,Competitor
76,IS NULL
77,Client service
78,IS NULL
79,IS NULL
80,IS NULL
81,IS NULL
82,Competitor
83,IS NULL
84,Client service
85,IS NULL
86,Price
87,Price
88,IS NULL
89,IS NULL
90,IS NULL
91,IS NULL
92,Competitor
93,Competitor
94,Client service
95,IS NULL
96,IS NULL
97,IS NULL
98,IS NULL
99,IS NULL
100,IS NULL
101,IS NULL
102,IS NULL
103,IS NULL
104,IS NULL
105,IS NULL
106,IS NULL
107,IS NULL
108,IS NULL
109,Client service
110,Competitor
111,IS NULL
112,Other
113,IS NULL
114,IS NULL
115,Product quality
116,Price
117,IS NULL
118,IS NULL
119,Competitor
120,IS NULL
121,IS NULL
122,IS NULL
123,IS NULL
124,IS NULL
125,IS NULL
126,Competitor
127,Competitor
128,IS NULL
129,IS NULL
130,IS NULL
131,Competitor
132,IS NULL
133,IS NULL
134,IS NULL
135,IS NULL
136,IS NULL
137,IS NULL
138,IS NULL
139,Competitor
140,IS NULL
141,IS NULL
142,Other
143,Competitor
144,IS NULL
145,IS NULL
146,IS NULL
147,IS NULL
148,IS NULL
149,IS NULL
150,IS NULL
151,IS NULL
152,IS NULL
153,IS NULL
